population,states
12548926,JAMMU & KASHMIR
6856509,HIMACHAL PRADESH
27704236,PUNJAB
10116752,UTTARAKHAND
25353081,HARYANA
68621012,RAJASTHAN
199581477,UTTAR PRADESH
103804637,BIHAR
607688,SIKKIM
1382611,ARUNACHAL PRADESH
1980602,NAGALAND
2721756,MANIPUR 
1091014,MIZORAM
3671032,TRIPURA
2964007,MEGHALAYA
31169272,ASSAM
91347736,WEST BENGAL
32966238,JHARKHAND
41947358,ORISSA
25540196,CHHATTISGARH
72597565,MADHYA PRADESH
60383628,GUJARAT
112372972,MAHARASHTRA
84665533,ANDHRA PRADESH
61130704,KARNATAKA
1457723,GOA
33387677,KERALA
72138958,TAMIL NADU
